ID,Title,Created At,Closed At,Issues,Errors,Messages
2149,file_upload demo: yield write() cb in body_producer,2017-09-08T22:03:35Z,2017-09-23T16:12:34Z,,,
2148,return 404 when routing delegate is not found,2017-09-07T10:24:14Z,2017-11-05T23:10:26Z,,,
2147,Zero copy send,2017-09-06T16:45:12Z,,,,
2146,"Unit testing and tornado.options, Option already defined",2017-09-05T14:37:03Z,2017-09-06T02:58:34Z,,tornado.options.Error,"tornado.options.Error: Option 'myoption' already defined in demo.py"
2145,Proxy Setting doesn't work for HTTPs,2017-09-04T08:50:09Z,,,,
2144,Accessing web request globally in Tornado,2017-08-27T18:38:40Z,2017-08-27T19:25:34Z,,,
2143,Cherrypick FD_CLOEXEC change for 4.5.2,2017-08-27T16:20:18Z,2017-08-27T18:50:21Z,,,
2142,function url_concat in httputil.py returns wrong data when url contains '#',2017-08-24T08:52:49Z,2017-08-27T19:10:18Z,,,
2141,routing exception when not find any handler,2017-08-23T02:57:10Z,2017-11-05T23:10:57Z,,,
2140,Need more parameters for auth get_authenticated_user method,2017-08-22T17:58:11Z,,,,
2139,Allow custom loader callbacks in parse_config_file(),2017-08-22T04:07:50Z,,,,
2138,Tornado.AsyncHTTPClient is skipping over urls some of the URLs I give it,2017-08-19T23:16:07Z,2017-08-27T18:25:23Z,,,
2137,Correctly clear and create a new ioloop during autoreload,2017-08-19T11:05:05Z,2017-09-03T17:48:55Z,,TypeError,"TypeError: '<=' not supported between instances of 'AsyncIOLoop' and 'int'"
2136,WebSocketProtocol13.periodic_ping exception,2017-08-18T16:10:50Z,,,,
2135,update google oauth URLs,2017-08-11T22:58:58Z,2018-01-01T01:29:10Z,,,
2134,"In other ways, can you call RequestHandler and then respond to the data, similar to the HttpResponse () method in Django?",2017-08-11T11:23:26Z,2017-08-11T12:23:18Z,,,
2133,how can i send xml with AsyncHTTPClient？,2017-08-11T09:27:09Z,2017-08-15T08:16:28Z,,TypeError,"TypeError: not a valid non-string sequence or mapping object"
2132,Remove headers from HTTPServerRequest repr,2017-08-10T15:25:46Z,2017-08-27T16:50:56Z,,,
2131,IOError: fd already registered,2017-08-10T09:19:27Z,,,"IOError, OSError","IOError: fd 12 already registered, OSError: [Errno 2] No such file or directory"
2130,Add SSL/SSH handshake timing to response properties (curl client),2017-08-09T22:30:21Z,2017-08-27T16:27:30Z,,,
2129,async on_close method,2017-08-09T14:03:25Z,2017-08-27T16:24:40Z,,,
2128,why use CurlAsyncHTTPClient (but not add proxy) is much slower than use AsyncHTTPClient,2017-08-09T07:22:46Z,2017-08-27T16:37:10Z,,,
2127,CurlAsyncHTTPClient should warn when max_clients exceeded,2017-08-07T15:16:57Z,,,,
2126,autoreload: doesn't close connections in Tornado 4.5,2017-08-06T06:03:41Z,2017-08-27T20:52:31Z,,,
2125,Why CurlAsyncHTTPClient consum huge memory in HTTPS request,2017-08-04T06:18:20Z,2017-08-07T12:59:14Z,,,
2124,Tornado doesn't respect the connect timeout when using proxy with curl_httpclient,2017-08-03T00:39:42Z,2017-08-06T21:34:29Z,,,
2123,Tornado yield [ <list of futures> ] performs only 10 requests simultaneously,2017-08-02T08:46:46Z,2017-08-02T09:10:26Z,,,
2122,SSL: DECRYPTION_FAILED_OR_BAD_RECORD_MAC,2017-07-29T03:45:29Z,,,,
2121,Websocket ping_interval < ping_timeout,2017-07-27T23:32:00Z,2017-08-02T05:24:07Z,,,
2120,"When refresh web pages, wait too long",2017-07-27T13:55:21Z,2017-08-06T21:20:02Z,,,
2119,ensure AsyncIOLoop.stop wakes eventloop,2017-07-26T13:33:12Z,2017-08-12T14:15:06Z,,,
2118,"tornado.TCPClient.connect call hangs indefinitely, regardless of timeout",2017-07-25T14:37:07Z,2017-07-27T10:18:00Z,,,
2117,socket.gaierror: [Errno -2] Name or service not known,2017-07-24T15:00:11Z,2017-07-26T02:01:19Z,,socket.gaierror,"socket.gaierror: [Errno -2] Name or service not known"
2116,"Drop support for python 3.3, 3.5.[01]",2017-07-23T18:33:13Z,2017-09-04T19:32:52Z,,,
2115,Tornado multiprocess does not work for tensorflow ,2017-07-22T10:40:20Z,2017-07-22T14:38:53Z,,,
2114,Alter Condition.wait() documentation.,2017-07-21T21:16:32Z,2018-01-14T00:01:52Z,,,
2113,"Tornado is not exposing ""password"" argument in SSLContext.load_cert_chain",2017-07-21T16:05:05Z,2017-07-21T20:47:41Z,,,
2112,RequestHandler.log_exception writes Authorization headers to application log,2017-07-21T14:21:47Z,2017-12-16T17:16:10Z,,,
2111,TypeError on exception handling,2017-07-20T10:58:33Z,2017-08-06T20:08:30Z,,TypeError,TypeError: cannot concatenate 'str' and 'NoneType' objects
2110,IOStream._handle_write blocks when _write_buffer is large,2017-07-19T12:49:48Z,,,,
2109,feat: RedirectHandler to pass GET query,2017-07-16T14:10:51Z,2017-07-16T15:30:42Z,,,
2108,Robust way to clean up resources,2017-07-14T03:48:24Z,2017-07-15T14:24:17Z,,,
2107,remove redundant gen.coroutine,2017-07-13T03:16:23Z,2017-09-04T19:33:08Z,,,
2106,cast pycurl debug messages to str,2017-07-11T10:07:50Z,2017-07-16T03:26:59Z,,,
2105,Problems with the startransfer timing using pycurl+AsyncHTTPClient,2017-07-10T13:23:32Z,2017-07-23T14:55:59Z,,,
2104,"""WARNING:tornado.access:405 OPTIONS"" error will not allow POST",2017-07-04T07:23:47Z,2017-07-04T16:48:19Z,,,
2103,ioloop: add loop iteration callback,2017-07-02T02:38:02Z,,,,
2102,Reduce Websocket copies / accept memoryviews,2017-06-30T16:16:23Z,,,,
2101,Stable,2017-06-29T02:12:51Z,2017-06-29T02:14:08Z,,,
2100,Stable,2017-06-28T01:45:51Z,2017-06-28T01:46:08Z,,,
2099,FriendFeed website seems to have gone,2017-06-27T20:32:14Z,2017-06-28T01:36:08Z,,,
2098,Do not send/expect Content-Length on 1xx,2017-06-27T16:37:18Z,2017-07-15T19:56:53Z,,,
2097,Content-Length included in response with code 101,2017-06-27T00:14:51Z,2017-07-15T19:57:32Z,,,
2096,Feature request: Implement `body_producer` for `curl_httpclient`,2017-06-25T19:46:53Z,,,,
2095,CurlAsyncHTTPClient: add note about `max_clients`,2017-06-20T21:14:57Z,2017-08-15T16:05:13Z,,,
2094,Tcpclient connect timeout,2017-06-20T15:30:44Z,2017-07-16T03:13:00Z,,,
2093,Unable to handle C-Ares exception.,2017-06-20T08:54:38Z,2017-06-20T12:29:08Z,,,
2092,tornado.testing.AsyncHTTPTestCase: Avoid make Application every times,2017-06-20T07:24:09Z,2017-06-20T12:59:23Z,,,
2091,Method Render Doesn't keep indentation ,2017-06-18T01:19:10Z,2017-06-30T16:54:38Z,,,
2090,Add keyword argument for RedirectHandler to pass GET query,2017-06-17T06:11:02Z,2017-07-16T14:07:28Z,,,
2089,There is no way to convey GET parameters using RedirectHandler ,2017-06-16T14:12:05Z,2017-07-07T01:50:56Z,,,
2088,Edit On Gitlab link return 404,2017-06-15T12:27:37Z,2017-06-15T15:45:55Z,,,
2087,A question about close event when using asyncio,2017-06-15T10:44:35Z,2017-06-18T02:31:14Z,,,
2086,js中如何获得html模板中{{xx}}的变量值，求大神告知,2017-06-15T10:17:05Z,2017-06-16T02:00:30Z,,,
2085,Add IOLoop.is_running(),2017-06-12T14:57:06Z,,,,
2084,testing: Fix incorrect docs for gen_test,2017-06-11T16:27:21Z,2017-06-11T18:28:10Z,,,
2083,Clean up test logging,2017-06-11T03:01:43Z,2017-06-11T13:36:00Z,,,
2082,"ioloop,gen: Unify TimeoutErrors",2017-06-10T22:11:08Z,2017-06-11T02:12:23Z,,,
2081,Fix module autoreload for __main__ with relative imports,2017-06-09T16:02:36Z,2017-06-18T02:24:51Z,,,
2080,Fix #2079: avoid exception log in IOLoop when fd was removed in the meantime,2017-06-08T15:06:04Z,2017-06-12T16:49:38Z,,,
2079,KeyError in IOLoop if IOStream.close() was called in the meantime,2017-06-08T12:10:28Z,2017-06-12T18:22:02Z,,,
2078,Different TimeoutErrors,2017-06-08T09:40:13Z,2017-06-10T21:51:22Z,,,
2077,Added information about timeout arg in Queue get and put methods,2017-06-08T08:43:59Z,2017-06-10T22:13:58Z,,,
2076,Not working through IP interfaces. ,2017-06-06T11:43:16Z,2017-06-10T22:15:01Z,,,
2075,Fix #2069: Fix race condition between accept() handler and TCPServer.stop(),2017-06-06T08:44:56Z,2017-07-04T22:35:08Z,,,
2074,"http1connection: add ""Connection: close"" header if appropriate",2017-06-05T05:01:04Z,2017-06-10T21:20:15Z,,,
2073,concurrent: Use asyncio.Future when available,2017-06-05T03:59:38Z,2017-11-05T23:07:16Z,,,
2072,ioloop: Make asyncio the default when available,2017-06-04T01:56:54Z,2017-06-04T14:05:42Z,,,
2071,http1connection: Send `Connection: close` before closing connection,2017-06-03T15:50:01Z,2017-06-10T21:20:15Z,,,
2070,Public function to determine if we are inside a running event loop,2017-06-02T13:52:45Z,2017-06-03T16:24:47Z,,,
2069,EBADF in accept() handler if TCPServer.stop() was called in the meantime,2017-06-01T14:08:15Z,2017-07-04T22:35:17Z,,,
2068,Undeprecate maybe_future()?,2017-05-31T14:41:49Z,,,,
2067,Implement IOLoop.run_in_executor,2017-05-30T23:59:56Z,2017-10-21T18:04:58Z,,,
2066,Update executable flags and shebang lines,2017-05-30T13:29:44Z,2018-01-13T18:54:41Z,,,
2065,Issue with GZIP Content-Encoding while using CurlAsyncHTTPClient,2017-05-29T17:51:24Z,2017-05-30T16:01:54Z,,,
2064,"tcpclient,netutil: Set FD_CLOEXEC on all sockets created by Tornado",2017-05-29T00:14:47Z,2017-05-29T15:23:04Z,,,
2063,ioloop: Redefine instance() in terms of current(),2017-05-28T15:09:37Z,2017-05-29T16:05:12Z,,,
2062,ioloop: Make PollIOLoop separately configurable,2017-05-27T23:18:17Z,2017-05-27T23:49:39Z,,,
2061,RequestHandler.finish should return a Future,2017-05-27T14:39:07Z,,,,
2060,coroutine doesn't work,2017-05-27T08:41:06Z,2017-05-27T14:25:24Z,,,
2059,SimpleAsyncHTTPClient caches DNS errors,2017-05-26T19:09:32Z,,,,
2058,Return HTTP 400 on bad request lines,2017-05-26T13:21:35Z,2017-06-10T21:18:43Z,,,
2057,autoreload: Request will be always loading after auto reload,2017-05-24T10:56:02Z,2017-05-29T15:23:04Z,,,
2056,The `replace_callback` argument of `tornado.gen.coroutine`,2017-05-24T09:19:32Z,2017-05-26T02:40:29Z,,,
2055,StreamClosedError,2017-05-23T15:39:11Z,2017-05-23T20:23:49Z,,,
2054,Adding labels to show beginner issues?,2017-05-23T12:26:28Z,,,,
2053,Transfer-Encoding:chunked,2017-05-22T15:22:58Z,2017-05-26T02:25:26Z,,,
2052,all: Remove deprecated io_loop arguments,2017-05-22T05:04:52Z,2017-05-27T14:28:44Z,,,
2051,build: Speed up appveyor tests by not running the full matrix.,2017-05-21T16:16:52Z,2017-05-21T20:42:40Z,,,
2050,build: Don't double-test on appveyor,2017-05-20T19:46:41Z,2017-05-21T15:41:40Z,,,
2049,httpclient: Consider removing magic from AsyncHTTPClient,2017-05-20T18:37:53Z,,,,
2048,options: Report redefinition errors when underscores are used,2017-05-20T17:44:48Z,2017-05-21T02:50:12Z,,,
2047,ioloop: Document the incompatibility of IOLoop and fork(),2017-05-20T17:01:53Z,2017-05-20T23:56:49Z,,,
2046,web: Clarify cookie method docs,2017-05-20T16:31:29Z,2017-05-20T21:47:57Z,,,
2045,websocket: Don't swallow exceptions in _write_frame,2017-05-20T16:16:33Z,2017-05-21T02:49:47Z,,,
2044,Autoreload fails for __main__ module with relative imports,2017-05-20T11:01:15Z,2017-06-18T02:24:50Z,,SystemError,"SystemError: Parent module '' not loaded, cannot perform relative import"
2043,"httputil: Header normalization behaves oddly for ""ß""",2017-05-17T09:20:14Z,,,,
2042,How to handle message from lisnten socket client,2017-05-15T07:04:30Z,2017-05-15T12:25:29Z,,,
2041,The custom error page,2017-05-09T02:35:54Z,2017-05-09T11:13:44Z,,,
2040,Unable to use non-ascii characters in user/password for basic auth in curl_httpclient,2017-05-08T19:38:46Z,,,,
2039,Unable to use non-ascii characters in user/password for basic auth in curl_httpclient,2017-05-08T18:24:10Z,,,,
2038,don't check error code in test_set_close_exec,2017-05-08T13:29:55Z,2017-05-21T00:00:03Z,,,
2037,fix Windows test_set_close_exec,2017-05-08T13:28:50Z,2017-05-21T00:00:17Z,,,
2036,on_message not always send the current time,2017-05-06T10:46:33Z,2017-05-15T22:40:38Z,,,
2035,ioloop.PeriodicCallback does not work after changing system time backwards,2017-05-05T09:53:29Z,2017-05-06T02:54:44Z,,,
2034,gen.WaitIterator mess up current_index,2017-05-04T10:11:01Z,,,,
2033,Unable to Install Tornado on Python 2.7.11,2017-05-03T17:40:57Z,2017-05-20T21:44:08Z,,,
2032,"I want to post binary file use multipart params,but exception raised ",2017-05-03T02:31:22Z,2017-05-03T02:44:55Z,,,
2031,How do you tell if you have received a binary blob over websocket?,2017-05-02T17:02:36Z,2017-05-03T01:38:04Z,,,
2030,UnicodeDecodeError: 'utf-8' codec can't decode byte 0x89 in position 0: invalid start byte,2017-05-02T01:22:11Z,2017-05-03T02:41:00Z,,,
2029,WaitIterator crashes if given the same future multiple times,2017-04-27T22:52:44Z,,,KeyError,"KeyError: <Future at 0x7f2fe2eedd10 state=finished returned MyEntity>"
2028,Avoid IOStream.close(exc_info=True),2017-04-27T14:31:15Z,2017-05-26T02:13:49Z,,,
2027,DELETE handler calling flush leads to a 599 due to Transfer-Encoding chunked ,2017-04-26T16:53:23Z,,,,
2026,make http clients implement the context manager protocol,2017-04-25T22:24:34Z,,,,
2025,Fix file upload demo on Python 2.,2017-04-25T20:42:53Z,2017-04-26T13:44:18Z,,,
2024,websocket: optimize C websocket_mask function,2017-04-25T16:31:22Z,2017-05-20T18:53:20Z,,,
2023,TCPClient with connection timeout support. ,2017-04-25T14:20:47Z,2017-06-19T12:04:45Z,,,
2022,Fix CurlAsyncHTTPClient cause memory leak with `force_instance=True`,2017-04-21T10:59:05Z,2017-05-20T17:57:19Z,,,
2021,"Websocket, if yield on on_message, will block ping, pong",2017-04-21T02:22:02Z,2017-05-20T17:54:07Z,,,
2020,"Redefining options that contain an underscore do not raise exceptions, from 4.3.0",2017-04-20T22:10:48Z,2017-05-21T02:50:12Z,,,
2019,log: Fix color logging detection,2017-04-20T01:53:08Z,2017-04-20T03:16:39Z,,,
2018,fix backwards compatibility of url_concat for args=None,2017-04-19T16:03:43Z,2017-04-20T01:35:38Z,,,
2017,how to set `SO_RCVTIMEO` in tornado ?,2017-04-19T11:34:20Z,2017-04-20T01:01:56Z,,,
2016,`tornado.escape.json_encode` optimization,2017-04-19T08:05:11Z,2017-05-21T22:04:42Z,,,
2015,tornado 4.5 Breaks `jupyter notebook`,2017-04-19T03:39:22Z,2017-04-20T03:16:39Z,,"KeyError, RuntimeError","KeyError: 'log', RuntimeError: No supported color terminal library"
2014,Fix color logs on Windows,2017-04-18T14:31:54Z,2017-04-20T03:17:26Z,,,
2013,windows: No supported color terminal library,2017-04-18T01:28:22Z,2017-04-20T03:16:39Z,windows,,
2012,Tornado v4.5 is incompatible with Bokeh Server application implementation,2017-04-17T23:07:39Z,2017-04-20T01:50:05Z,,,
2011,websocket: Fix use of render_string in websocket handlers,2017-04-15T16:56:05Z,2017-04-15T20:51:01Z,,,
2010,websocket demo exception,2017-04-13T06:25:59Z,2017-04-15T20:51:01Z,,,
2009,travis: fix using wrong Python version,2017-04-13T01:59:39Z,2017-04-15T16:45:34Z,,,
2008,iostream: Fix unreleased memoryview,2017-04-12T09:28:03Z,2017-04-15T13:03:48Z,,,
2007,`asyncio.as_completed` for Tornado coroutines,2017-04-12T08:46:27Z,2017-04-15T16:58:56Z,,,
2006,Cleanups from various linters,2017-04-10T03:34:44Z,2017-04-10T13:13:17Z,,,
2005,"auth: Update, doc, and test the facebook session_expires field",2017-04-10T03:00:40Z,2017-04-10T13:08:38Z,,,
2004,Check _events and _handlers before start(),2017-04-06T15:37:34Z,2017-05-20T23:56:49Z,,,
2003,loop.add_future(coroutine): assertion failed,2017-04-05T20:11:06Z,2017-04-08T17:31:49Z,,,
2002,Fetch absolute URL in AsyncHTTPTestCase,2017-04-04T19:51:42Z,2017-05-21T22:17:39Z,,,
2001,Update auth.py,2017-04-04T13:35:48Z,2017-04-10T13:08:38Z,,,
2000,Regression: HTTP Headers not JSON serializable,2017-04-03T20:52:00Z,2017-04-04T03:36:37Z,,,
