file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1187,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""int"")"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1188,assignment," Incompatible types in assignment (expression has type ""BinaryIO"", variable has type ""int"")"
fabric\main.py,load_tasks_from_module,182,197,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,189,assignment," Incompatible types in assignment (expression has type ""List[Tuple[str, Any]]"", variable has type ""Dict[str, Any]"")"
fabric\main.py,load_tasks_from_module,182,197,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,192,assignment," Incompatible types in assignment (expression has type ""List[Tuple[str, Any]]"", variable has type ""Dict[str, Any]"")"
tests\mock_streams.py,mock_streams,33,83,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,68,assignment," Incompatible types in assignment (expression has type ""StringIO[str]"", variable has type ""CarbonCopy"")"
tests\server.py,_socket_info,154,175,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,173,assignment," Incompatible types in assignment (expression has type ""Tuple[int, int, int, str, Tuple[Any, ...]]"", variable has type ""int"")"
fabric\job_queue.py,append,76,91,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,88,reference,process,"Thread,Process"
fabric\job_queue.py,append,76,91,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,91,reference,process,"Thread,Process"
fabric\main.py,main,588,761,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,614,reference,value,"str,list,bool"
fabric\main.py,main,588,761,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,614,reference,key,"str,list"
fabric\network.py,prompt_for_password,588,620,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,612,reference,password_prompt,"str,tuple,None"
fabric\network.py,connect,381,580,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,554,reference,err,"str,tuple"
fabric\network.py,connect,381,580,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,555,reference,err,"str,tuple"
fabric\network.py,connect,381,580,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,574,reference,msg,"str,tuple,tuple"
fabric\network.py,prompt_for_password,588,620,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,610,reference,default,"str,tuple"
fabric\network.py,prompt_for_password,588,620,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,614,reference,password_prompt,"str,tuple,None"
fabric\network.py,_password_prompt,583,586,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,586,reference,prompt,"str,tuple,None"
fabric\network.py,prompt_for_password,588,620,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,619,reference,password_prompt,"str,tuple,None"
fabric\network.py,connect,138,151,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,149,reference,key,"str,tuple,tuple"
fabric\network.py,connect,381,580,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,558,reference,err,"str,tuple"
fabric\network.py,get_gateway,60,101,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,90,reference,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,60,101,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,92,reference,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,60,101,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,93,reference,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,60,101,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,93,reference,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,60,101,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,98,reference,gateway,"str,tuple,tuple"
fabric\network.py,connect,138,151,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,150,reference,key,"str,tuple,tuple"
fabric\network.py,__getitem__,153,160,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,158,reference,key,"str,tuple,tuple"
fabric\network.py,__getitem__,153,160,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,159,reference,key,"str,tuple,tuple"
fabric\network.py,__getitem__,153,160,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,160,reference,key,"str,tuple,tuple"
fabric\operations.py,_shell_wrap,624,647,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,636,reference,sudo_prefix,"str,tuple,_AttributeDict"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,944,reference,msg,"str,tuple,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,946,reference,msg,"str,tuple,tuple"
fabric\operations.py,require,70,136,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,121,reference,msg,"str,tuple,tuple"
fabric\operations.py,require,70,136,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,134,reference,msg,"str,tuple,tuple,tuple"
fabric\operations.py,sudo,1068,1118,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1115,reference,command,"str,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,904,reference,command,"str,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,912,reference,command,"str,int"
fabric\operations.py,_prefix_env_vars,678,721,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,721,reference,shell_env_str,"str,tuple"
fabric\operations.py,_prefix_env_vars,678,721,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,721,reference,command,"str,int"
fabric\operations.py,_prefix_commands,650,675,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,675,reference,command,"str,tuple,int"
fabric\operations.py,_shell_wrap,624,647,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,633,reference,sudo_prefix,"str,tuple,_AttributeDict"
fabric\operations.py,_shell_wrap,624,647,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,642,reference,command,"str,tuple,int"
fabric\operations.py,_shell_wrap,624,647,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,643,reference,command,"str,tuple,int"
fabric\operations.py,_shell_wrap,624,647,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,647,reference,sudo_prefix,"str,tuple,_AttributeDict"
fabric\operations.py,_shell_wrap,624,647,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,647,reference,command,"str,tuple,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,920,reference,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,922,reference,given_command,"str,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,926,reference,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,745,reference,stdout,"StreamRecoder,StringIO,?"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,754,reference,stdin,"StreamRecoder,file"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,780,reference,command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,781,reference,command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,783,reference,command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,844,reference,stdout_buf,"str,list,None"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,844,reference,stdout_buf,"str,list,None"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,845,reference,stderr_buf,"list,str,None"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,845,reference,stderr_buf,"list,str,None"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,848,reference,stdout_buf,"str,list,None"
fabric\operations.py,_execute,724,848,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,848,reference,stderr_buf,"list,str,None"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,931,reference,result_stdout,"str,list"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,932,reference,result_stderr,"list,str"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,936,reference,given_command,"str,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,937,reference,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,944,reference,given_command,"str,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,947,reference,given_command,"str,int"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,947,reference,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_run_command,890,961,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,949,reference,msg,"str,tuple,tuple,int"
fabric\operations.py,run,964,1065,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1063,reference,command,"str,int"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1170,reference,command,"str,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1172,reference,command,"str,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1173,reference,with_env,"str,tuple,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1175,reference,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1177,reference,given_command,"str,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1190,reference,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1190,reference,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1191,reference,cmd_arg,"str,list,tuple,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1191,reference,out_stream,"int,file,None"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1192,reference,err_stream,"int,file,None"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1201,reference,given_command,"str,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1202,reference,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1208,reference,command,"str,tuple,tuple"
fabric\operations.py,local,1122,1212,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,1209,reference,msg,"str,tuple"
fabric\operations.py,require,70,136,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,136,reference,msg,"str,tuple,tuple,tuple"
fabric\state.py,_rc_path,54,68,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,68,reference,expanded_rc_path,"str,tuple"
fabric\tasks.py,execute,282,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,338,reference,msg,"str,tuple"
fabric\tasks.py,execute,282,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,341,reference,msg,"str,tuple"
fabric\tasks.py,_execute,213,277,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,271,reference,p,"Thread,Process"
fabric\tasks.py,_execute,213,277,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,273,reference,p,"Thread,Process"
fabric\tasks.py,execute,282,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,419,reference,err,"str,bool"
fabric\tasks.py,execute,282,430,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,421,reference,err,"str,bool"
fabric\tasks.py,__init__,155,168,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,162,reference,__name__,"str,int"
fabric\tasks.py,__init__,155,168,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,166,reference,__doc__,"str,int"
fabric\utils.py,error,321,358,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,352,reference,message,"str,int"
fabric\utils.py,error,321,358,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,355,reference,message,"str,tuple,int"
fabric\utils.py,error,321,358,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,357,reference,message,"str,tuple,int"
fabric\utils.py,_pty_size,282,318,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,308,reference,result,"str,int"
fabric\utils.py,indent,86,111,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,106,reference,prefix,"str,int"
fabric\utils.py,indent,86,111,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,110,reference,prefix,"str,int"
fabric\utils.py,indent,86,111,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,111,reference,output,"str,int"
fabric\utils.py,warn,65,83,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,82,reference,msg,"str,int"
fabric\utils.py,_format_error_output,361,367,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,367,reference,side,"str,int"
fabric\utils.py,_format_error_output,361,367,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,367,reference,side,"str,int"
fabric\utils.py,error,321,358,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,358,reference,message,"str,tuple,int,?"
fabric\utils.py,handle_prompt_abort,173,183,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,180,reference,reason,"str,tuple"
fabric\utils.py,handle_prompt_abort,173,183,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,183,reference,reason,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,55,reference,x,"str,list"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,63,reference,v,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,65,reference,v,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,67,reference,v,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,73,reference,v,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,76,reference,v,"str,tuple,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,78,reference,v,"str,tuple,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,84,reference,v,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,87,reference,v,"str,tuple,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,89,reference,v,"str,tuple,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,91,reference,v,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,53,reference,type_,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,55,reference,type_,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,55,reference,x,"str,list"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,58,reference,branch,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,61,reference,branch,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,62,reference,tertiary,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,63,reference,tertiary,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,66,reference,type_num,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,67,reference,type_num,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,68,reference,v,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,71,reference,branch,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,72,reference,tertiary,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,73,reference,tertiary,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,75,reference,type_num,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,76,reference,type_,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,76,reference,type_num,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,78,reference,type_,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,79,reference,v,"str,tuple,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,82,reference,branch,"str,tuple"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,83,reference,tertiary,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,84,reference,tertiary,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,86,reference,type_num,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,87,reference,type_,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,87,reference,type_num,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,89,reference,type_,"str,int"
fabric\version.py,get_version,31,99,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,92,reference,v,"str,tuple,int"
fabric\contrib\files.py,exists,18,37,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,30,reference,path,"str,int"
fabric\contrib\files.py,_expand_path,426,427,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,427,reference,path,"str,int"
fabric\contrib\files.py,exists,18,37,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,34,reference,func,"bool,function,function"
fabric\contrib\files.py,exists,18,37,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,34,reference,cmd,"str,int"
fabric\contrib\files.py,exists,18,37,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,37,reference,func,"bool,function,function"
fabric\contrib\files.py,exists,18,37,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,37,reference,cmd,"str,int"
fabric\contrib\files.py,sed,165,233,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,233,reference,func,"bool,function,function"
fabric\contrib\files.py,sed,165,233,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,233,reference,command,"str,dict"
fabric\contrib\files.py,upload_template,69,161,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,110,reference,func,"bool,function,function"
fabric\contrib\files.py,upload_template,69,161,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,113,reference,func,"bool,function,function,?"
fabric\contrib\files.py,upload_template,69,161,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,153,reference,func,"bool,function,function,?"
fabric\contrib\files.py,contains,320,361,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,361,reference,func,"bool,function,function"
fabric\contrib\files.py,contains,320,361,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,361,reference,egrep_cmd,"str,tuple"
fabric\contrib\files.py,append,364,413,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,413,reference,func,"bool,function,function"
fabric\contrib\files.py,comment,267,316,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,312,reference,regex,"str,tuple"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,130,reference,exclude_opts,"str,int"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,147,reference,options,"str,dict"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,147,reference,local_dir,"str,list,None"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,147,reference,remote_prefix,"str,tuple"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,147,reference,remote_dir,"str,int"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,149,reference,options,"str,dict"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,149,reference,remote_prefix,"str,tuple"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,149,reference,remote_dir,"str,int"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,149,reference,local_dir,"str,list,None"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,152,reference,cmd,"str,tuple,tuple"
fabric\contrib\project.py,rsync_project,18,153,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,153,reference,cmd,"str,tuple,tuple"
fabric\contrib\project.py,upload_project,156,204,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,200,reference,runner,"bool,function,function"
fabric\contrib\project.py,upload_project,156,204,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,202,reference,runner,"bool,function,function"
integration\test_contrib.py,rsync,94,103,,,,,,d62f92f3eb83b26799141b2db20059aa8b234e8d,96,reference,remote,"str,int"
