file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",103,reference,x,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",104,reference,x,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",105,reference,x,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",131,reference,A2,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",114,reference,d,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",153,reference,noncebit,"str,tuple"
requests\auth.py,build_digest_header,88,172,abe02ed,Mark Shannon,2016-04-29 16:49:24,"Initialize hash_utf8 to None, preventing NameError. Fixes #3138.",3138,"542fbbc67fd07819551012295ff5468eb2714f62, abe02ed89fa7f575877a882cb5ba337290eb27d1, 5a69137ac871c38f4597b574e93de07d9ff9655f, e8d9bc55bc9fae82e3ba934d3f7a93e94a72d094, fb1971778f0a199e65193af4bbd0a040fd3808f8, 373166d833aa5e89d38859f11be59ad3aaba5a1d, 3501ea463432400c77479dddedab3b7af967b618, 6931bd67153f92246c2fdd69d2c0ec29c13bb885, 22e31b4b737c2a3b61b3ab4fccd534b2eee65a87, a6360ca134623a9faecfe64b51e86f42bffb4dd9",172,reference,base,"str,tuple,tuple"
requests\models.py,prepare_url,324,399,7f14db1,Kenneth Reitz,2017-05-29 12:11:43,new requests namespace,4099,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",367,reference,netloc,"module,str"
requests\models.py,prepare_url,324,399,248d3e9,Hussain,2016-11-16 22:48:45,Fixed issue #3696. Added a test for it as well.,3696,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",367,reference,netloc,"module,str"
requests\models.py,prepare_url,324,399,7f14db1,Kenneth Reitz,2017-05-29 12:11:43,new requests namespace,4099,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",368,reference,netloc,"module,str"
requests\models.py,prepare_url,324,399,248d3e9,Hussain,2016-11-16 22:48:45,Fixed issue #3696. Added a test for it as well.,3696,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",368,reference,netloc,"module,str"
requests\models.py,prepare_url,324,399,7f14db1,Kenneth Reitz,2017-05-29 12:11:43,new requests namespace,4099,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",370,reference,netloc,"module,str"
requests\models.py,prepare_url,324,399,248d3e9,Hussain,2016-11-16 22:48:45,Fixed issue #3696. Added a test for it as well.,3696,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",370,reference,netloc,"module,str"
requests\models.py,prepare_url,324,399,7f14db1,Kenneth Reitz,2017-05-29 12:11:43,new requests namespace,4099,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",399,reference,url,"module,str,tuple,tuple,PreparedRequest"
requests\models.py,prepare_url,324,399,248d3e9,Hussain,2016-11-16 22:48:45,Fixed issue #3696. Added a test for it as well.,3696,"7f14db17c8612aed71a181b084455b71e130ffc8, fae3f92c34d8d7267de33ecb676b3d5600146257, 402a55b647c852553ff6967403b12f6b6efc0fd8, a83685ce00995808725bd07cb3ce8f785178b5e8, 34af72c87d79bd8852e8564c050dd7711c6a08d6, 0d7de50dbd7eacb0242506454363c71925d7241a, 248d3e9f0f8ea1657d9329f8b188a81ca2a65ecc, 8dd51d22fc42abf98f8e75ff5722f4b0295015e5, 27812eb90248c021d7277a8823dd9c7885f497af, fc8fa1aa265bb14d59c68eb68a179bce17953967, 23d9b077d8b2db9d13c1edd97ffb65b0582631d0, 74609c5c8f94cbae3d3fc72e0b0a53cae19cc29c, a0632d8df045f9e56625a856a14df8941922eced, 599f8343512277671d08e043a0505a82630c641d, f02d0f9e79a3aa3f0b716871f457ceb8f446bdba, bd3cf95e34aa49c8d764c899672048df107e0d70, 3246b1fe172ca3d4f098e85467234ded2f833b31, ca2ebc5b682452bc870efb2f7123feda9a80a8ea, bff8b91638586a8269f79f1bac6e82921702e5b3, 0228851f19aaf4b0f620c74cb08d295329431a3e, a9ec28a1b4288e6368f855f442817633d3a7f7da, b5d2160ef8e5eb0b163a69e33f5deb31ecfabd32, 715a57dec888c850d16b767d7cdab9705fda7292, afcc883d7f5968a8d64ea400335fb47f3f73d042, a776e7cb3e57e56a2d9974b730e6f5e7776751a4, 98a7585fbdc3a9231aad314b7985b170ca3feb42, 94e82e9cc2e7eb9934ed086a69d3b49ddf3ce3eb, 31d10c0b2b693a43581935913c6d8bff4111a8c5",399,reference,url,"module,str,tuple,tuple,PreparedRequest"
